,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
2014-02-06,2001465.80,1944918.60,1925348.48,1925813.06,1941318.17,2027002.77,2212178.50,2434447.45,2551461.67,2606063.46,2609388.06,2533140.08,2481688.67,2465501.22,2445481.04,2418869.75,2405193.89,2441938.68,2543055.81,2518985.14,2472135.90,2405295.52,2248255.47,2123241.89,
2014-02-07,2023024.87,1963806.38,1937369.30,1936759.55,1957723.39,2039328.46,2218653.48,2443709.86,2567155.51,2638220.60,2636246.16,2574109.58,2541894.37,2513177.98,2487408.72,2449967.07,2419334.32,2460623.21,2539818.31,2510274.40,2450213.88,2376956.59,2263194.38,2130587.94,
2014-02-08,2023431.37,1962891.76,1938109.71,1929065.06,1935249.69,1981039.12,2070062.84,2207663.44,2304120.32,2389151.62,2401622.49,2352479.42,2323254.90,2296716.19,2271818.01,2254338.46,2264863.93,2334840.18,2427667.59,2403233.98,2363672.72,2299721.40,2187120.62,2065751.03,
2014-02-09,1967276.16,1907723.76,1870049.83,1853296.18,1856344.94,1891100.77,1939082.41,2009305.46,2066825.35,2152800.32,2195874.91,2197646.09,2194524.74,2183200.79,2172805.97,2178409.88,2208461.92,2283185.52,2384128.43,2377159.84,2338687.42,2268899.91,2130428.24,1998968.72,
2014-02-10,1904878.25,1856098.13,1824434.61,1819774.36,1834945.56,1924608.07,2116113.60,2333446.46,2441561.21,2490457.48,2483677.62,2419276.25,2390676.00,2396250.87,2372688.33,2346861.00,2311495.41,2335145.06,2450344.54,2435536.29,2390153.35,2312279.37,2167506.94,2033550.34,
2014-02-11,1934422.17,1885090.37,1861484.27,1857216.01,1873940.62,1955371.49,2128715.13,2344886.56,2455759.71,2510405.06,2502521.85,2457356.68,2448442.69,2446177.90,2431137.37,2413919.14,2391750.32,2407066.70,2481166.03,2453175.53,2400954.67,2317026.73,2168058.62,2033027.70,
2014-02-12,1934102.77,1876684.51,1855168.99,1857593.48,1876902.27,1961410.93,2137004.85,2336901.72,2433997.39,2478436.66,2478814.13,2418782.64,2405266.48,2406064.96,2389108.07,2378829.40,2360928.83,2381936.23,2449996.11,2429003.24,2368332.96,2290836.45,2150796.85,2006082.49,
2014-02-13,1903411.95,1848026.18,1823853.89,1824100.70,1844759.66,1927003.52,2102263.53,2298719.66,2394653.90,2441416.03,2428466.07,2365487.45,2351797.08,2348995.13,2335420.90,2313179.48,2303525.08,2328350.68,2389441.98,2368724.94,2326681.12,2252349.51,2111976.00,1973025.24,
2014-02-14,1874564.89,1827889.87,1808218.12,1804283.77,1819411.42,1906054.20,2075913.55,2266475.42,2364180.84,2417969.64,2407720.00,2350156.56,2330426.74,2321019.15,2308795.08,2276144.34,2246179.41,2262120.05,2336727.51,2318013.94,2264980.08,2196629.84,2073039.01,1941187.51,
2014-02-15,1840680.13,1780067.93,1750916.00,1735933.53,1743584.46,1785846.05,1867451.13,1993393.85,2057141.92,2114197.24,2122864.42,2091447.70,2060858.50,2054964.23,2036889.46,2031793.68,2054630.32,2123691.94,2223226.62,2222413.62,2187149.65,2120280.24,2003454.75,1896777.27,
2014-02-16,1810163.52,1751278.94,1718904.04,1708814.11,1712008.04,1742335.92,1780343.77,1837021.62,1903063.52,1982607.05,2023329.75,2027249.58,2024375.03,2016332.12,2014589.97,2017493.55,2042072.35,2104688.02,2220076.23,2230804.96,2194408.60,2127031.06,1991085.50,1863342.56,
2014-02-17,1781897.18,1728224.53,1712283.88,1708276.94,1723448.14,1807622.89,1985496.12,2178467.95,2284738.93,2333722.30,2333620.68,2281457.89,2269364.48,2277784.86,2269248.34,2250012.13,2224359.01,2238484.92,2320569.09,2309390.31,2263804.13,2186728.63,2041128.68,1906315.53,
2014-02-18,1812166.99,1759960.64,1742698.87,1737588.57,1758508.85,1843554.67,2011613.81,2191316.29,2293551.29,2329904.10,2316315.35,2258592.21,2249315.27,2247123.07,2244103.35,2218958.36,2191635.68,2205384.13,2303278.28,2300156.93,2254149.73,2169597.52,2028904.62,1897503.16,
2014-02-19,1813270.35,1779893.71,1750654.67,1740826.06,1761034.97,1846908.31,2010858.87,2187599.71,2277334.81,2296149.99,2275316.82,2225055.87,2213064.09,2208360.29,2202654.76,2185901.11,2167739.23,2189719.32,2289529.84,2291010.66,2241490.13,2155137.70,2027176.99,1901698.84,
2014-02-20,1797591.02,1749943.30,1727411.53,1721822.14,1747605.92,1826292.90,1999999.49,2185814.01,2278946.29,2312090.64,2284927.66,2230746.89,2211859.11,2209913.71,2201653.03,2192884.22,2172907.60,2196383.03,2285072.84,2286568.19,2243333.90,2163746.81,2035844.17,1910322.46,
2014-02-21,1805198.40,1755590.76,1731563.64,1731650.75,1749435.17,1831577.41,2001523.87,2186844.78,2289442.73,2330615.47,2306878.72,2253104.44,2232837.46,2236220.13,2218798.66,2197326.70,2177785.61,2198560.72,2308040.15,2334259.46,2288339.37,2208999.08,2091142.82,1971587.97,
2014-02-22,1881620.59,1826133.20,1802686.80,1795152.02,1801873.80,1852642.87,1944207.23,2047110.05,2144975.17,2212425.30,2226101.16,2198125.18,2170802.50,2151290.46,2125056.62,2112077.63,2114836.03,2149853.18,2268812.80,2310261.39,2272122.88,2209303.96,2104267.00,1992827.65,
2014-02-23,1908202.85,1856286.87,1821022.90,1810279.66,1810410.32,1838008.84,1883943.45,1916739.37,2000957.67,2088355.39,2130283.06,2130457.28,2121949.79,2117187.92,2099359.95,2094104.47,2102394.19,2149432.17,2272398.72,2314311.88,2270162.97,2185204.25,2071224.27,1950130.53,
2014-02-24,1860177.66,1816565.91,1792437.17,1789882.02,1808058.42,1893786.58,2071572.70,2247210.18,2379700.47,2446395.67,2445771.40,2395524.97,2375679.01,2373748.13,2351129.26,2319262.48,2279701.22,2285464.83,2360667.51,2381195.81,2325606.80,2236510.49,2092013.90,1964808.12,
2014-02-25,1878499.24,1825537.97,1805866.22,1803136.86,1818932.33,1897953.22,2071529.15,2246324.59,2369610.53,2405121.30,2397572.00,2340429.57,2329105.61,2331167.15,2317229.98,2291431.68,2254207.80,2241896.63,2339863.37,2371454.31,2315894.33,2224562.26,2082301.43,1960075.28,
2014-02-26,1856417.53,1807274.46,1787051.03,1785541.17,1805154.85,1890926.56,2057301.62,2214356.18,2328437.79,2360246.49,2338832.60,2268943.46,2248618.41,2246353.62,2221498.99,2200448.04,2166911.71,2160581.91,2265618.87,2327508.64,2286481.08,2201841.76,2062426.43,1929398.98,
2014-02-27,1833885.76,1778398.37,1756737.67,1755082.63,1777846.69,1860729.34,2032911.55,2189370.89,2306399.63,2342142.68,2323646.88,2266228.62,2256733.91,2255732.18,2240081.89,2220685.99,2187483.56,2178003.38,2279527.01,2327871.59,2277828.41,2194248.90,2056546.68,1926524.43,
2014-02-28,1838023.36,1788473.79,1770326.42,1769019.81,1785004.01,1865607.35,2035887.72,2184318.66,2297354.98,2343550.92,2323182.31,2263978.34,2241199.77,2236162.06,2230543.64,2209855.64,2176232.20,2185320.40,2260465.01,2293188.34,2241983.74,2155413.54,2031750.12,1905923.54,
